"user_id","order_id","broker_id","trading_env","trading_type","asset_id","order_side","order_type","order_creation_tmstmp","order_status","fill_pct","order_volume","order_price"
"thomasbouamoud","6b057c4f-46b6-4108-a27b-71940146cfa9","kraken","paper_trading","spot","MLN/USD","buy","limit","2023-11-28 02:42:59.348+00","open","0","1","13.845"
"thomasbouamoud","bd523018-fdc5-4ace-9ab3-0f5a31c38527","kraken","paper_trading","spot","SHIB/USD","buy","limit","2023-11-28 02:47:06.906+00","open","0","1","6.63e-06"
"thomasbouamoud","76ef4dc1-8b71-49f3-ace7-4771a2815c37","kraken","paper_trading","spot","HDX/USD","buy","limit","2023-11-28 02:49:16.675+00","open","0","1","0.0059"
"thomasbouamoud","94720137-906b-4e3e-9b51-16cfcc6d9969","kraken","paper_trading","spot","MULTI/USD","buy","limit","2023-12-04 00:17:34.763+00","open","0","1","1.054"
"thomasbouamoud","d875f9e7-b360-47bf-be33-b1da5a9db0cc","kraken","paper_trading","spot","STG/USD","sell","limit","2023-12-04 00:34:13.012+00","open","0","1000","0.6195"
"thomasbouamoud","65c351eb-39fd-4f36-a14d-3b0788623c8f","kraken","paper_trading","spot","TBTC/USD","sell","limit","2023-12-04 00:37:14.155+00","open","0","1000","40000"
"thomasbouamoud","0be5b64f-6c1f-4489-bd29-09becc6e0447","kraken","paper_trading","spot","OCEAN/USD","sell","limit","2023-12-04 00:42:01.675+00","open","0","1000","0.5124"
"thomasbouamoud","2cbcf575-b5aa-4b8a-973c-d6f82f4326bb","kraken","paper_trading","spot","NYM/USD","sell","limit","2023-12-04 00:43:25.768+00","open","0","1000","0.1758"
"thomasbouamoud","7c8ef06e-0e0b-435e-aad9-e64c145db45e","kraken","paper_trading","spot","DOT/USD","sell","limit","2023-12-04 00:44:06.169+00","open","0","1000","5.6032"
"thomasbouamoud","0d86621a-5e80-4563-89a1-c895cd31ae1a","kraken","paper_trading","spot","ASTR/USD","sell","limit","2023-12-04 00:44:43.656+00","open","0","1000","0.0706"
"thomasbouamoud","434ceea2-3884-4430-9dab-46fb9dc367a5","kraken","paper_trading","spot","EOS/USD","sell","limit","2023-12-04 00:45:38.495+00","open","0","1","0.7392"
"thomasbouamoud","712f2637-9f86-49e9-96c1-93dbb22a058d","kraken","paper_trading","spot","XRP/USD","sell","limit","2023-12-04 00:46:09.168+00","open","0","0.6242","1"
"thomasbouamoud","52a1ded2-2ec6-44d7-a7b0-9aad915e96c2","kraken","paper_trading","spot","XRP/USD","sell","limit","2023-12-04 00:46:24.411+00","open","0","1","0.6242"
"thomasbouamoud","9290cd30-7483-4a78-b762-8d3486173e9d","kraken","paper_trading","spot","LMWR/USD","sell","limit","2023-12-04 00:47:01.987+00","open","0","1","0.2847"
"thomasbouamoud","70638b73-b185-43b1-9f43-4a697a333346","kraken","paper_trading","spot","AIR/USD","sell","limit","2023-12-04 00:48:42.409+00","open","0","1","0.045"
"thomasbouamoud","d9132256-cd81-43c2-892f-bdae057e8556","kraken","paper_trading","spot","MOON/USD","sell","limit","2023-12-04 00:49:25.332+00","open","0","1","0.2087"
"thomasbouamoud","eb34d98a-4530-4681-a23d-ba844a2dddcd","kraken","paper_trading","spot","ADX/USD","sell","limit","2023-12-04 00:50:41.77+00","open","0","1","0.17173"
"thomasbouamoud","bb3b991d-5b4c-4b5e-9b19-789b7d59de8b","kraken","paper_trading","spot","HDX/USD","sell","limit","2023-12-04 00:52:05.942+00","open","0","1","0.0068"
"thomasbouamoud","9c1664a0-c203-4557-9d8c-f072b6225e16","kraken","paper_trading","spot","CVC/USD","buy","limit","2023-12-04 01:00:11.929+00","open","0","1","0.109"
"thomasbouamoud","4e47051a-b96d-4bd9-80b0-5183807b1bcf","kraken","paper_trading","spot","JUNO/USD","buy","limit","2023-12-04 01:09:49.284+00","open","0","1","0.415"
"thomasbouamoud","9ef2d447-89dd-43b6-9859-f8c00e8dc049","kraken","paper_trading","spot","UNFI/USD","buy","limit","2023-12-10 15:20:14.597+00","open","0","1","6"
"thomasbouamoud","3da7c562-d289-4f17-bfec-3c48084f57fc","kraken","paper_trading","spot","BRICK/USD","buy","limit","2023-12-10 15:21:46.416+00","open","0","1","0.0606"
"thomasbouamoud","551f5ce0-3c0f-4c4b-a7e6-efc86cfde104","kraken","paper_trading","spot","MKR/USD","sell","limit","2023-12-10 15:22:50.198+00","open","0","1","1486.4"
"thomasbouamoud","181f6eb3-f998-4d08-96fa-dda64775cd94","kraken","paper_trading","spot","MULTI/USD","buy","limit","2023-12-10 15:42:57.169+00","open","0","1","1.054"
"thomasbouamoud","6813772a-1f6c-45b7-a70a-96d62a419bb3","kraken","paper_trading","spot","MULTI/USD","buy","limit","2023-12-10 15:43:34.046+00","open","0","1","1.457"
"thomasbouamoud","92af8a56-50a2-44eb-b09c-d06abe30b1fc","kraken","paper_trading","spot","MULTI/USD","sell","limit","2023-12-10 15:43:56.667+00","open","0","1.457","1"
