timestamp,bitcoin_dominance
2021-05-23,0.4430248
2021-05-28,0.41584362
2021-06-02,0.4007061
2021-06-07,0.39331837
2021-06-12,0.4294116
2021-06-17,0.44171234
2021-06-22,0.45798737
2021-06-27,0.46062332
2021-07-02,0.44470592
2021-07-07,0.4301077
2021-07-12,0.438747
2021-07-17,0.44926258
2021-07-22,0.44744957
2021-07-27,0.462761
2021-08-01,0.46058365
2021-08-06,0.44696217
2021-08-11,0.4409035
2021-08-16,0.4252679
2021-08-21,0.42710606
2021-08-26,0.4266202
2021-08-31,0.41308086
2021-09-05,0.39864506
2021-09-10,0.40015347
2021-09-15,0.40336765
2021-09-20,0.41421577
2021-09-25,0.4070983
2021-09-30,0.4135168
2021-10-05,0.41635536
2021-10-10,0.43372917
2021-10-15,0.4460729
2021-10-20,0.4578349
2021-10-25,0.4391244
2021-10-30,0.42481403
2021-11-04,0.41173874
2021-11-09,0.4189599
2021-11-14,0.413793
2021-11-19,0.40812847
2021-11-24,0.3975196
2021-11-29,0.40207043
2021-12-04,0.3877504
2021-12-09,0.38086006
2021-12-14,0.3967918
2021-12-19,0.3865873
2021-12-24,0.3848093
2021-12-29,0.38221733
2022-01-03,0.37588436
2022-01-08,0.3779217
2022-01-13,0.37750668
2022-01-18,0.3762339
2022-01-23,0.38627617
2022-01-28,0.3993056
2022-02-02,0.39239918
2022-02-07,0.39484802
2022-02-12,0.40526157
2022-02-17,0.4012536
2022-02-22,0.4022962
2022-02-27,0.39913128
2022-03-04,0.41061535
2022-03-09,0.41531143
2022-03-14,0.4074354
2022-03-19,0.402809
2022-03-24,0.398597
2022-03-29,0.40149998
2022-04-03,0.3888656
2022-04-08,0.38989525
2022-04-13,0.387293
2022-04-18,0.38919884
2022-04-23,0.3876334
2022-04-28,0.39370243
2022-05-03,0.39954826
2022-05-08,0.39344917
2022-05-13,0.4174995
2022-05-18,0.41576942
2022-05-23,0.4201842
2022-05-28,0.43332924
2022-06-02,0.43630558
2022-06-07,0.44014248
2022-06-12,0.45002357
2022-06-17,0.41852238
2022-06-22,0.4096257
2022-06-27,0.40243
2022-07-02,0.40067375
2022-07-07,0.40136375
2022-07-12,0.40566307
2022-07-17,0.39809982
2022-07-22,0.39857414
2022-07-27,0.3926723
2022-08-01,0.38980556
2022-08-06,0.3835646
2022-08-11,0.38417194
2022-08-16,0.37963337
2022-08-21,0.37935593
2022-08-26,0.3763756
2022-08-31,0.3707435
2022-09-05,0.3665714
2022-09-10,0.36941326
2022-09-15,0.3692623
2022-09-20,0.3738448
2022-09-25,0.3694638
2022-09-30,0.37493713
2022-10-05,0.38084263
2022-10-10,0.37446236
2022-10-15,0.37857933
2022-10-20,0.37866447
2022-10-25,0.37789352
2022-10-30,0.3698315
2022-11-04,0.36520725
2022-11-09,0.3696848
2022-11-14,0.36235813
2022-11-19,0.3629606
2022-11-24,0.36164215
2022-11-29,0.35725376
2022-12-04,0.3628689
2022-12-09,0.36476326
2022-12-14,0.37329247
2022-12-19,0.3781473
2022-12-24,0.37897987
2022-12-29,0.3800079
2023-01-03,0.3779897
2023-01-08,0.3745435
2023-01-13,0.38156815
2023-01-18,0.3920622
2023-01-23,0.40003258
2023-01-28,0.4006631
2023-02-02,0.40022797
2023-02-07,0.3923557
2023-02-12,0.39021675
2023-02-17,0.39828136
2023-02-22,0.40241375
2023-02-27,0.39801384
2023-03-04,0.3966679
2023-03-09,0.39793686
2023-03-14,0.41528275
2023-03-19,0.4294216
2023-03-24,0.4404162
2023-03-29,0.43832844
2023-04-03,0.43928223
2023-04-08,0.43452316
2023-04-13,0.44394306
2023-04-18,0.43342304
2023-04-23,0.43264057
2023-04-28,0.4347836
2023-05-03,0.43314613
2023-05-08,0.4317061
2023-05-13,0.4253004
2023-05-18,0.42846523
2023-05-23,0.42663456
2023-05-28,0.42625492
2023-06-02,0.42260944
2023-06-07,0.42334526
2023-06-12,0.4339889
2023-06-17,0.43771324
2023-06-22,0.45563595
2023-06-27,0.4600275
2023-07-02,0.45438194
2023-07-07,0.45703846
2023-07-12,0.45841408
2023-07-17,0.44447876
2023-07-22,0.4421702
2023-07-27,0.43967995
2023-08-01,0.43819317
2023-08-06,0.4414656
2023-08-11,0.44330746
2023-08-16,0.4469631
2023-08-21,0.4355205
2023-08-26,0.43655525
2023-08-31,0.44307133
2023-09-05,0.43626305
2023-09-10,0.43855934
2023-09-15,0.4441041
2023-09-20,0.44722122
2023-09-25,0.44239536
2023-09-30,0.44235226
2023-10-05,0.4510078
2023-10-10,0.45246494
2023-10-15,0.44951527
2023-10-20,0.46891777
2023-10-25,0.4867699
2023-10-30,0.48372154
2023-11-04,0.47774555
2023-11-09,0.47959583
2023-11-14,0.47017685
2023-11-19,0.4717624
2023-11-24,0.47213753
2023-11-29,0.47488842
2023-12-04,0.48635754
2023-12-09,0.4779114
2023-12-14,0.4754775
2023-12-19,0.47870354
2023-12-24,0.4882374
2023-12-29,0.4769887
2024-01-03,0.48591423
2024-01-08,0.50573277
2024-01-13,0.47585747
2024-01-18,0.47539272
2024-01-23,0.4795385
2024-01-28,0.4868455
2024-02-02,0.48903904
2024-02-07,0.48807663
2024-02-12,0.50184525
2024-02-17,0.50049686
2024-02-22,0.4897948
2024-02-27,0.4962491
2024-03-03,0.4983162
2024-03-08,0.49389183
2024-03-13,0.4983036
2024-03-18,0.49667553
2024-03-23,0.4948346
2024-03-28,0.50089558
2024-04-02,0.49959747
2024-04-07,0.50423054
2024-04-12,0.5070127
2024-04-17,0.5175928
2024-04-22,0.51125206
2024-04-27,0.509992
2024-05-02,0.50036705
2024-05-07,0.50913734
2024-05-12,0.50778057
2024-05-17,0.5192364
2024-05-22,0.5076955
2024-05-27,0.49878174
2024-06-01,0.50162598
2024-06-06,0.5053796
2024-06-11,0.5141312
2024-06-16,0.51534367
2024-06-21,0.5131254
2024-06-26,0.50898705
2024-07-01,0.50982307
2024-07-06,0.51201588
2024-07-11,0.51124523
2024-07-16,0.51356644
2024-07-21,0.5176792
2024-07-26,0.528986
2024-07-31,0.5240008
2024-08-05,0.53710464
2024-08-10,0.54145184
2024-08-15,0.53060802
2024-08-20,0.5329957
2024-08-25,0.53455803
2024-08-30,0.535192
2024-09-04,0.5353273
2024-09-09,0.5302555
2024-09-14,0.5379015
